"고유번호","일련번호","도시계획사항 코드","도시계획사항 명칭","결정조서 일련번호","고시 일련번호","라벨","고시일자","X 좌표","Y 좌표"
"3885","준주거지역_4627","UQA130","준주거지역","","","준주거지역","","31336.89423","1351.180902"
"4207","준주거지역_4103","UQA130","준주거지역","","","준주거지역","","23803.73595","611.9736859"
"4386","제2종일반주거지역_00556","UQA122","제2종일반주거지역","","","제2종일반주거지역","","20603.59699","788.8019084"
"1","제2종일반주거지역_00685","UQA122","제2종일반주거지역","","","제2종일반주거지역","","3135.052936","319.7731549"
"2","제3종일반주거지역_00561","UQA123","제3종일반주거지역","","","제3종일반주거지역","","3536.093153","276.6272566"
"3","제1종일반주거지역_00323","UQA121","제1종일반주거지역","","","제1종일반주거지역","","829.3743384","118.1731109"
"4","제1종일반주거지역_00979","UQA121","제1종일반주거지역","","","제1종일반주거지역","","991.5953547","138.9047122"
"5","제1종일반주거지역_00783","UQA121","제1종일반주거지역","","","제1종일반주거지역","","1009.820898","126.3107948"
"6","제2종일반주거지역(7층이하)_00156","UQA124","제2종일반주거지역(7층이하)","","","제2종일반주거지역(7층이하)","","70.10956989","142.9399821"
"7","제2종일반주거지역_01454","UQA122","제2종일반주거지역","","","제2종일반주거지역","","5030.210628","315.9404238"
"8","제2종일반주거지역_01472","UQA122","제2종일반주거지역","","","제2종일반주거지역","","10985.57748","561.2880895"
"9","제1종일반주거지역_00758","UQA121","제1종일반주거지역","","","제1종일반주거지역","","800.7007522","310.7716629"
"10","제2종일반주거지역(7층이하)_00657","UQA124","제2종일반주거지역(7층이하)","","","제2종일반주거지역(7층이하)","","24778.4043","698.1205566"
"11","제3종일반주거지역_00151","UQA123","제3종일반주거지역","","","제3종일반주거지역","","3764.123897","277.1724502"
"12","제3종일반주거지역_2262","UQA123","제3종일반주거지역","104916","12000461","제3종일반주거지역","","4624.19231","495.7813634"
"13","제1종일반주거지역_00092","UQA121","제1종일반주거지역","","","제1종일반주거지역","","394.4197967","107.8376292"
"14","제2종일반주거지역_01388","UQA122","제2종일반주거지역","","","제2종일반주거지역","","341.1676804","98.39888167"
"15","제2종일반주거지역_01343","UQA122","제2종일반주거지역","","","제2종일반주거지역","","3243.14404","235.1687172"
"16","제2종일반주거지역_00921","UQA122","제2종일반주거지역","","","제2종일반주거지역","","39423.00953","1150.642175"
"17","제1종일반주거지역_00975","UQA121","제1종일반주거지역","","","제1종일반주거지역","","945.4944653","127.2961343"
"18","제2종일반주거지역_01080","UQA122","제2종일반주거지역","","","제2종일반주거지역","","3410.280058","243.0073703"
"19","제2종일반주거지역(7층이하)_00056","UQA124","제2종일반주거지역(7층이하)","","","제2종일반주거지역(7층이하)","","15139.29386","581.3633815"
"20","준주거지역_4578","UQA130","준주거지역","130004","8220","준주거지역","","18.84174101","32.72183777"
"21","제2종일반주거지역_00946","UQA122","제2종일반주거지역","","","제2종일반주거지역","","1156.8463","136.0670642"
"22","제1종일반주거지역_00615","UQA121","제1종일반주거지역","","","제1종일반주거지역","","135141.6821","2450.118576"
"23","제1종일반주거지역_00117","UQA121","제1종일반주거지역","","","제1종일반주거지역","","3756.317051","676.5126742"
"24","제2종일반주거지역_00801","UQA122","제2종일반주거지역","","","제2종일반주거지역","","14179.82849","631.7057308"
"25","제1종일반주거지역_00707","UQA121","제1종일반주거지역","","","제1종일반주거지역","","14719.27052","1476.576386"
"26","준주거지역_4463","UQA130","준주거지역","30065","1732","준주거지역","","40424.93467","1149.469758"
"27","제2종일반주거지역(7층이하)_00310","UQA124","제2종일반주거지역(7층이하)","","","제2종일반주거지역(7층이하)","","71487.49084","1290.661841"
"28","제1종일반주거지역_6345","UQA121","제1종일반주거지역","140961","11500988","제1종일반주거지역","","24732.59859","1173.216563"
"29","제2종일반주거지역_00307","UQA122","제2종일반주거지역","","","제2종일반주거지역","","52765.53362","1590.318099"
"30","제2종일반주거지역_00681","UQA122","제2종일반주거지역","","","제2종일반주거지역","","49420.74427","1856.040314"
"31","제1종일반주거지역_00508","UQA121","제1종일반주거지역","","","제1종일반주거지역","","3134.653038","985.4262439"
"32","제3종일반주거지역_00449","UQA123","제3종일반주거지역","","","제3종일반주거지역","","345899.4892","5105.60848"
"33","제2종일반주거지역_00394","UQA122","제2종일반주거지역","","","제2종일반주거지역","","6225.094585","397.8534423"
"34","제1종일반주거지역_00296","UQA121","제1종일반주거지역","","","제1종일반주거지역","","52729.5894","1467.705718"
"35","제2종일반주거지역_UQA12220110804172","UQA122","제2종일반주거지역","UQA12220110804172","58027620","제2종일반주거지역","20110714","14952.30108","1443.227306"
"36","제3종일반주거지역_00302","UQA123","제3종일반주거지역","","","제3종일반주거지역","","325924.1227","5899.888392"
"37","제2종일반주거지역(7층이하)_00400","UQA124","제2종일반주거지역(7층이하)","","","제2종일반주거지역(7층이하)","","646673.4782","5974.450598"
"38","제2종일반주거지역_00171","UQA122","제2종일반주거지역","","","제2종일반주거지역","","2573.573648","214.7630025"
"39","제1종일반주거지역_00922","UQA121","제1종일반주거지역","","","제1종일반주거지역","","17635.24295","645.1967867"
"40","제3종일반주거지역_00096","UQA123","제3종일반주거지역","","","제3종일반주거지역","","65999.30412","1327.646517"
"41","제2종일반주거지역(7층이하)_UQA12420090609952","UQA124","제2종일반주거지역(7층이하)","UQA12420090609952","58015868","제2종일반주거지역(7층이하)","","36605.07164","876.6733438"
"42","제1종일반주거지역_00506","UQA121","제1종일반주거지역","","","제1종일반주거지역","","6155.72266","521.6498849"
"43","제2종일반주거지역(7층이하)_00094","UQA124","제2종일반주거지역(7층이하)","","","제2종일반주거지역(7층이하)","","268510.2263","4717.271338"
"44","제3종일반주거지역_00674","UQA123","제3종일반주거지역","","","제3종일반주거지역","","58.83345783","514.425759"
"45","제2종일반주거지역_01330","UQA122","제2종일반주거지역","","","제2종일반주거지역","","4219.190995","289.7825805"
"46","제3종일반주거지역_00435","UQA123","제3종일반주거지역","","","제3종일반주거지역","","8202.257837","515.1939048"
"47","제2종일반주거지역(7층이하)_00224","UQA124","제2종일반주거지역(7층이하)","","","제2종일반주거지역(7층이하)","","42037.54504","1714.499132"
"48","제2종일반주거지역_00656","UQA122","제2종일반주거지역","","","제2종일반주거지역","","29754.47972","1040.013234"
"49","제2종일반주거지역_01380","UQA122","제2종일반주거지역","","","제2종일반주거지역","","28002.20453","1052.651296"
"50","준주거지역_32272","UQA130","준주거지역","32272","4256","준주거지역","19961118","0.59564098","22.11446763"
"51","제2종일반주거지역_00016","UQA122","제2종일반주거지역","","","제2종일반주거지역","","23157.76975","909.7649364"
"52","제1종일반주거지역_00193","UQA121","제1종일반주거지역","","","제1종일반주거지역","","53704.67179","2593.790863"
"53","제1종일반주거지역_00436","UQA121","제1종일반주거지역","","","제1종일반주거지역","","1499.470185","158.2120634"
